"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Navigation","0","0","0","8","0"
"","","Mnemonic Cards","0","0","0","2","0"
"","","Tests","0","0","0","8","1"
"","","AddNewCourse","0","0","0","3","0"
"","","Search","0","0","0","2","0"
"","","Streaks","0","0","0","2","0"
"","","FlashcardsLogic","0","0","0","11","0"
"","","StudyThis","0","0","0","3","0"
"","","Profile","0","0","0","1","0"
"","","Checkboxes","0","0","0","5","0"
"","","Flashcards","0","0","0","6","0"
"","","Tests Bronze","0","0","0","5","0"
"","","Study Guide","0","0","0","4","0"
"","","Performance","0","0","0","3","0"
"","","","0","1","0","0","0"
"","","StudyGuide","0","0","0","1","0"
"","","StripeModal","0","0","0","2","0"
